level_strict3,locale_simple,academic_year,male_female_ratio,sped_ratio,sed_ratio,el_ratio,foster_ratio,migrant_ratio,homeless_ratio,data_source,high_sped_disparity,high_gender_disparity,high_sed_disparity
Alternative,City,2017-18,2.5332780189511306,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2018-19,2.9264230006756553,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2019-20,2.584496737670697,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2021-22,3.260743610561463,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2022-23,2.42615483005987,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,City,2023-24,2.4769401814195615,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2017-18,2.8924120452258477,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2018-19,3.0656648519650984,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2019-20,3.1474454776929037,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2021-22,2.7285429141716566,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2022-23,2.26764767897371,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Rural,2023-24,2.4339142722562412,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2017-18,2.4143946701255405,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2018-19,3.0065213683282477,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2019-20,3.2972993389739385,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2021-22,2.936991196977369,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2022-23,2.241298031142663,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Suburban,2023-24,2.575692346452433,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2017-18,2.5761166348977387,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2018-19,2.131540474148385,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2019-20,2.5632774834743106,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2021-22,2.3642277538444447,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2022-23,2.218911620038222,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Town,2023-24,2.1544863767562528,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Unknown,2017-18,4.074763401401155,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Unknown,2018-19,3.6276836975182913,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Unknown,2019-20,1.6651007684500507,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Unknown,2021-22,3.9090428344791115,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Unknown,2022-23,1.6152412110356675,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Alternative,Unknown,2023-24,0.5562913907284769,NA,NA,NA,NA,NA,NA,demographic,NA,FALSE,NA
Elementary,City,2017-18,5.61734317435779,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2018-19,6.590265246243838,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2019-20,5.249217647522086,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2021-22,4.8527249390928775,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2022-23,4.215234454355735,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,City,2023-24,4.59849210328426,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2017-18,8.445655995908382,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2018-19,5.697021639469401,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2019-20,9.593880307975825,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2021-22,7.580006182014041,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2022-23,5.896126362266638,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Rural,2023-24,5.841986349172552,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2017-18,6.73062273301363,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2018-19,5.941359660050643,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2019-20,6.450741372423904,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2021-22,4.498146839383512,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2022-23,4.6197913335389575,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Suburban,2023-24,4.468977546662877,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2017-18,6.181558135388322,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2018-19,5.38504461654823,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2019-20,5.50949319420426,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2021-22,5.626886125685809,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2022-23,3.673179161308769,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Town,2023-24,4.710014024217482,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2017-18,4.715079335086138,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2018-19,8.063475511859245,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2019-20,6.907942238267149,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2021-22,6.665316045380875,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2022-23,1.5950697843030632,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
Elementary,Unknown,2023-24,NA,NA,NA,NA,NA,NA,NA,demographic,NA,NA,NA
High,City,2017-18,2.3526774195631206,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,City,2018-19,2.254884849781691,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,City,2019-20,2.2322655563069533,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,City,2021-22,2.136653318351495,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,City,2022-23,1.9906234298736887,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,City,2023-24,1.8561103124366798,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Rural,2017-18,2.820993264383261,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Rural,2018-19,2.481832427191122,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Rural,2019-20,2.537332598982824,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Rural,2021-22,2.2338951005199306,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Rural,2022-23,2.080699780108869,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Rural,2023-24,2.2817532171325507,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2017-18,2.367683447804081,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2018-19,2.3433215728030974,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2019-20,2.3617260340027597,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2021-22,2.06694917454041,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2022-23,1.9311566255838022,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Suburban,2023-24,2.000607094410319,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Town,2017-18,2.4599514946662238,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Town,2018-19,2.270670779413484,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Town,2019-20,2.551844815095405,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Town,2021-22,2.209516904566367,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Town,2022-23,2.184449137583358,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Town,2023-24,2.092923560330133,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Unknown,2017-18,2.123841922891355,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Unknown,2018-19,2.6532018451854196,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Unknown,2019-20,1.8122488990187746,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Unknown,2021-22,1.5756824036568335,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
High,Unknown,2022-23,1.533259446686602,NA,NA,NA,NA,NA,NA,demographic,NA,TRUE,NA
