level_strict3,locale_simple,academic_year,year_fct,category_type,subgroup,susp,enroll,n_schools,rate,sufficient_sample,total_susp_TA,enroll_TA,rate_TA,disparity_ratio,disparity_diff
Alternative,City,2017-18,2017-18,Other,Female,2188,63232,374,0.034602732793522266,TRUE,9476,146194,0.0648179815861116,0.5338446515424435,-0.030215248792589335
Alternative,City,2017-18,2017-18,Other,Homeless,724,5366,342,0.13492359299291837,TRUE,9476,146194,0.0648179815861116,2.081576588645706,0.07010561140680677
Alternative,City,2017-18,2017-18,Other,Male,7266,82890,374,0.08765834238146941,TRUE,9476,146194,0.0648179815861116,1.352376921287098,0.02284036079535781
Alternative,City,2017-18,2017-18,Other,Not Reported,20,330,150,0.06060606060606061,TRUE,9476,146194,0.0648179815861116,0.9350192511864104,-0.004211920980050993
Alternative,City,2017-18,2017-18,Other,Socioeconomically Disadvantaged,8252,116628,376,0.07075487875981754,TRUE,9476,146194,0.0648179815861116,1.0915933669705324,0.005936897173705935
Alternative,City,2017-18,2017-18,Sex,Female,834,5562,332,0.1499460625674218,TRUE,9476,146194,0.0648179815861116,2.3133405098123325,0.0851280809813102
Alternative,City,2017-18,2017-18,Sex,Male,54,602,108,0.08970099667774087,TRUE,9476,146194,0.0648179815861116,1.3838906192808833,0.024883015091629268
Alternative,City,2017-18,2017-18,Socioeconomic,Socioeconomically Disadvantaged,2416,17102,372,0.1412700268974389,TRUE,9476,146194,0.0648179815861116,2.1794882136180016,0.0764520453113273
Alternative,City,2017-18,2017-18,Special Education,Special Education,1742,21876,368,0.07963064545620771,TRUE,9476,146194,0.0648179815861116,1.2285270770182388,0.01481266387009611
Alternative,City,2018-19,2018-19,Other,Female,1908,62576,378,0.030490923037586295,TRUE,9226,144390,0.0638963917168779,0.47719319069987914,-0.0334054686792916
Alternative,City,2018-19,2018-19,Other,Homeless,632,5244,352,0.12051868802440885,TRUE,9226,144390,0.0638963917168779,1.886157962697203,0.05662229630753095
Alternative,City,2018-19,2018-19,Other,Male,7292,81722,378,0.08922933848902376,TRUE,9226,144390,0.0638963917168779,1.3964691290299307,0.025332946772145856
Alternative,City,2018-19,2018-19,Other,Not Reported,14,222,154,0.06306306306306306,TRUE,9226,144390,0.0638963917168779,0.9869581265635893,-8.333286538148438e-4
Alternative,City,2018-19,2018-19,Other,Socioeconomically Disadvantaged,7918,112880,380,0.07014528703047485,TRUE,9226,144390,0.0638963917168779,1.0977973113299657,0.006248895313596944
Alternative,City,2018-19,2018-19,Sex,Female,748,4496,340,0.16637010676156583,TRUE,9226,144390,0.0638963917168779,2.603748072328473,0.10247371504468793
Alternative,City,2018-19,2018-19,Sex,Male,22,554,122,0.039711191335740074,TRUE,9226,144390,0.0638963917168779,0.6214934876400943,-0.024185200381137827
Alternative,City,2018-19,2018-19,Socioeconomic,Socioeconomically Disadvantaged,1752,16594,380,0.10558033023984573,TRUE,9226,144390,0.0638963917168779,1.6523676439769481,0.041683938522967826
Alternative,City,2018-19,2018-19,Special Education,Special Education,1510,19886,376,0.0759328170572262,TRUE,9226,144390,0.0638963917168779,1.1883741008988609,0.012036425340348295
Alternative,City,2019-20,2019-20,Other,Female,803,29982,189,0.026782736308451738,TRUE,3504,68927,0.050836392125001816,0.5268417995241589,-0.024053655816550078
Alternative,City,2019-20,2019-20,Other,Homeless,226,2136,164,0.10580524344569288,TRUE,3504,68927,0.050836392125001816,2.081289387837121,0.05496885132069106
Alternative,City,2019-20,2019-20,Other,Male,2693,38905,189,0.06921989461508804,TRUE,3504,68927,0.050836392125001816,1.3616209121387481,0.018383502490086225
Alternative,City,2019-20,2019-20,Other,Non-Binary Gender (Beginning 2019–20),0,0,8,NA,FALSE,3504,68927,0.050836392125001816,NA,NA
Alternative,City,2019-20,2019-20,Other,Not Reported,0,87,190,0,TRUE,3504,68927,0.050836392125001816,0,-0.050836392125001816
Alternative,City,2019-20,2019-20,Other,Socioeconomically Disadvantaged,3090,54472,190,0.05672639154060802,TRUE,3504,68927,0.050836392125001816,1.1158618692121829,0.005889999415606202
Alternative,City,2019-20,2019-20,Sex,Female,344,2090,166,0.1645933014354067,TRUE,3504,68927,0.050836392125001816,3.237706189508641,0.11375690931040489
Alternative,City,2019-20,2019-20,Sex,Male,17,244,55,0.06967213114754098,TRUE,3504,68927,0.050836392125001816,1.3705168332210493,0.018835739022539162
Alternative,City,2019-20,2019-20,Socioeconomic,Socioeconomically Disadvantaged,866,8319,189,0.1040990503666306,TRUE,3504,68927,0.050836392125001816,2.047726953373501,0.053262658241628784
Alternative,City,2019-20,2019-20,Special Education,Special Education,611,9381,186,0.06513164907792346,TRUE,3504,68927,0.050836392125001816,1.2812012488567437,0.014295256952921644
Alternative,City,2021-22,2021-22,Other,Female,556,38338,197,0.014502582294329385,TRUE,2747,84433,0.032534672462188954,0.44575774694470804,-0.018032090167859567
Alternative,City,2021-22,2021-22,Other,Homeless,138,2540,177,0.05433070866141732,TRUE,2747,84433,0.032534672462188954,1.6699325534799596,0.021796036199228368
Alternative,City,2021-22,2021-22,Other,Male,2171,45909,197,0.047289202552876344,TRUE,2747,84433,0.032534672462188954,1.4535017252082303,0.01475453009068739
Alternative,City,2021-22,2021-22,Other,Non-Binary Gender (Beginning 2019–20),0,12,46,0,TRUE,2747,84433,0.032534672462188954,0,-0.032534672462188954
Alternative,City,2021-22,2021-22,Other,Not Reported,5,382,198,0.013089005235602094,TRUE,2747,84433,0.032534672462188954,0.402309420843681,-0.01944566722658686
Alternative,City,2021-22,2021-22,Other,Socioeconomically Disadvantaged,2469,64056,198,0.038544398651180214,TRUE,2747,84433,0.032534672462188954,1.1847175869366942,0.00600972618899126
Alternative,City,2021-22,2021-22,Sex,Female,204,1561,168,0.13068545803971812,TRUE,2747,84433,0.032534672462188954,4.0168057075600725,0.09815078557752917
Alternative,City,2021-22,2021-22,Sex,Male,15,299,57,0.05016722408026756,TRUE,2747,84433,0.032534672462188954,1.5419618604911651,0.017632551618078605
Alternative,City,2021-22,2021-22,Socioeconomic,Socioeconomically Disadvantaged,671,10527,196,0.06374085684430512,TRUE,2747,84433,0.032534672462188954,1.9591670061649853,0.03120618438211617
Alternative,City,2021-22,2021-22,Special Education,Special Education,556,13199,197,0.04212440336389121,TRUE,2747,84433,0.032534672462188954,1.2947541861024485,0.009589730901702252
Alternative,City,2022-23,2022-23,Other,Female,932,35565,205,0.02620553915366231,TRUE,3605,77535,0.04649513123105694,0.5636189953617773,-0.02028959207739463
Alternative,City,2022-23,2022-23,Other,Homeless,178,2381,117,0.0747585048299034,TRUE,3605,77535,0.04649513123105694,1.6078781336994619,0.02826337359884646
Alternative,City,2022-23,2022-23,Other,Male,2656,41775,206,0.06357869539198086,TRUE,3605,77535,0.04649513123105694,1.3674269479104677,0.017083564160923916
Alternative,City,2022-23,2022-23,Other,Non-Binary Gender (Beginning 2019–20),0,0,63,NA,FALSE,3605,77535,0.04649513123105694,NA,NA
Alternative,City,2022-23,2022-23,Other,Not Reported,0,521,207,0,TRUE,3605,77535,0.04649513123105694,0,-0.04649513123105694
Alternative,City,2022-23,2022-23,Other,Socioeconomically Disadvantaged,3202,56686,207,0.056486610450552165,TRUE,3605,77535,0.04649513123105694,1.214893021160489,0.009991479219495225
Alternative,City,2022-23,2022-23,Sex,Female,213,1442,176,0.14771151178918168,TRUE,3605,77535,0.04649513123105694,3.1769242903118453,0.10121638055812474
Alternative,City,2022-23,2022-23,Sex,Male,11,305,45,0.036065573770491806,TRUE,3605,77535,0.04649513123105694,0.7756849548668744,-0.010429557460565134
Alternative,City,2022-23,2022-23,Socioeconomic,Socioeconomically Disadvantaged,945,10807,206,0.0874433237716295,TRUE,3605,77535,0.04649513123105694,1.8806985044752549,0.04094819254057256
Alternative,City,2022-23,2022-23,Special Education,Special Education,726,12372,204,0.05868089233753637,TRUE,3605,77535,0.04649513123105694,1.2620868203580813,0.012185761106479433
Alternative,City,2023-24,2023-24,Other,Female,785,32612,205,0.02407089414939286,TRUE,3075,70776,0.04344693116310614,0.5540297900219281,-0.01937603701371328
Alternative,City,2023-24,2023-24,Other,Homeless,268,3808,192,0.0703781512605042,TRUE,3075,70776,0.04344693116310614,1.619864726378356,0.02693122009739806
Alternative,City,2023-24,2023-24,Other,Male,2266,38006,206,0.05962216492132821,TRUE,3075,70776,0.04344693116310614,1.3722986486087563,0.016175233758222073
Alternative,City,2023-24,2023-24,Other,Non-Binary Gender (Beginning 2019–20),0,0,46,NA,FALSE,3075,70776,0.04344693116310614,NA,NA
Alternative,City,2023-24,2023-24,Other,Not Reported,3,545,207,0.005504587155963303,TRUE,3075,70776,0.04344693116310614,0.12669680017901097,-0.03794234400714284
Alternative,City,2023-24,2023-24,Other,Socioeconomically Disadvantaged,2824,57407,207,0.04919260717334123,TRUE,3075,70776,0.04344693116310614,1.1322458423741133,0.005745676010235089
Alternative,City,2023-24,2023-24,Sex,Female,164,1180,178,0.13898305084745763,TRUE,3075,70776,0.04344693116310614,3.198915254237288,0.0955361196843515
Alternative,City,2023-24,2023-24,Sex,Male,23,397,71,0.05793450881612091,TRUE,3075,70776,0.04344693116310614,1.3334545677950482,0.014487577653014769
Alternative,City,2023-24,2023-24,Socioeconomic,Socioeconomically Disadvantaged,892,10345,204,0.08622522957950701,TRUE,3075,70776,0.04344693116310614,1.984610357307053,0.04277829841640087
Alternative,City,2023-24,2023-24,Special Education,Special Education,693,11109,202,0.062381852551984876,TRUE,3075,70776,0.04344693116310614,1.4358172345428557,0.018934921388878735
Alternative,Rural,2017-18,2017-18,Other,Female,386,3926,102,0.09831889964340296,TRUE,2312,10754,0.21498977124790775,0.45731896486382156,-0.11667087160450479
Alternative,Rural,2017-18,2017-18,Other,Homeless,58,222,72,0.26126126126126126,TRUE,2312,10754,0.21498977124790775,1.2152264721468875,0.04627149001335351
Alternative,Rural,2017-18,2017-18,Other,Male,1886,6632,106,0.28437876960193004,TRUE,2312,10754,0.21498977124790775,1.3227548824823339,0.06938899835402229
Alternative,Rural,2017-18,2017-18,Other,Not Reported,0,0,32,NA,FALSE,2312,10754,0.21498977124790775,NA,NA
Alternative,Rural,2017-18,2017-18,Other,Socioeconomically Disadvantaged,2232,8928,106,0.25,TRUE,2312,10754,0.21498977124790775,1.1628460207612457,0.035010228752092254
Alternative,Rural,2017-18,2017-18,Sex,Female,302,1346,68,0.22436849925705796,TRUE,2312,10754,0.21498977124790775,1.0436240661809695,0.009378728009150211
Alternative,Rural,2017-18,2017-18,Sex,Male,0,0,20,NA,FALSE,2312,10754,0.21498977124790775,NA,NA
Alternative,Rural,2017-18,2017-18,Socioeconomic,Socioeconomically Disadvantaged,510,1292,100,0.39473684210526316,TRUE,2312,10754,0.21498977124790775,1.8360726643598617,0.17974707085735542
Alternative,Rural,2017-18,2017-18,Special Education,Special Education,428,1412,76,0.3031161473087819,TRUE,2312,10754,0.21498977124790775,1.4099096229059864,0.08812637606087415
Alternative,Rural,2018-19,2018-19,Other,Female,424,3780,98,0.11216931216931217,TRUE,2712,10602,0.255800792303339,0.4385025986795898,-0.14363148013402685
Alternative,Rural,2018-19,2018-19,Other,Homeless,40,134,72,0.29850746268656714,TRUE,2712,10602,0.255800792303339,1.1669528463875312,0.04270667038322812
Alternative,Rural,2018-19,2018-19,Other,Male,2262,6578,106,0.3438735177865613,TRUE,2712,10602,0.255800792303339,1.3443020042673754,0.08807272548322226
Alternative,Rural,2018-19,2018-19,Other,Not Reported,0,0,36,NA,FALSE,2712,10602,0.255800792303339,NA,NA
Alternative,Rural,2018-19,2018-19,Other,Socioeconomically Disadvantaged,2570,8760,106,0.29337899543379,TRUE,2712,10602,0.255800792303339,1.1469041702024487,0.03757820313045096
Alternative,Rural,2018-19,2018-19,Sex,Female,456,1178,52,0.3870967741935484,TRUE,2712,10602,0.255800792303339,1.5132743362831855,0.13129598189020936
Alternative,Rural,2018-19,2018-19,Sex,Male,0,0,20,NA,FALSE,2712,10602,0.255800792303339,NA,NA
Alternative,Rural,2018-19,2018-19,Socioeconomic,Socioeconomically Disadvantaged,548,1328,98,0.4126506024096386,TRUE,2712,10602,0.255800792303339,1.6131717134022816,0.15684981010629956
Alternative,Rural,2018-19,2018-19,Special Education,Special Education,564,1314,68,0.4292237442922374,TRUE,2712,10602,0.255800792303339,1.67796096496545,0.1734229519888984
Alternative,Rural,2019-20,2019-20,Other,Female,144,1798,50,0.08008898776418243,TRUE,936,4993,0.18746244742639695,0.42722683323350735,-0.10737345966221452
Alternative,Rural,2019-20,2019-20,Other,Homeless,10,74,37,0.13513513513513514,TRUE,936,4993,0.18746244742639695,0.720865095865096,-0.05232731229126181
Alternative,Rural,2019-20,2019-20,Other,Male,759,3011,53,0.25207572235137826,TRUE,936,4993,0.18746244742639695,1.3446731642098628,0.06461327492498131
Alternative,Rural,2019-20,2019-20,Other,Non-Binary Gender (Beginning 2019–20),0,0,3,NA,FALSE,936,4993,0.18746244742639695,NA,NA
Alternative,Rural,2019-20,2019-20,Other,Not Reported,0,0,53,NA,FALSE,936,4993,0.18746244742639695,NA,NA
Alternative,Rural,2019-20,2019-20,Other,Socioeconomically Disadvantaged,874,4007,53,0.21811829298727228,TRUE,936,4993,0.18746244742639695,1.163530594963088,0.030655845560875333
Alternative,Rural,2019-20,2019-20,Sex,Female,141,471,23,0.29936305732484075,TRUE,936,4993,0.18746244742639695,1.5969228047253525,0.1119006098984438
Alternative,Rural,2019-20,2019-20,Sex,Male,1,11,9,0.09090909090909091,TRUE,936,4993,0.18746244742639695,0.48494560994561,-0.09655335651730604
Alternative,Rural,2019-20,2019-20,Socioeconomic,Socioeconomically Disadvantaged,191,657,52,0.2907153729071537,TRUE,936,4993,0.18746244742639695,1.5507925821852762,0.10325292548075676
Alternative,Rural,2019-20,2019-20,Special Education,Special Education,160,664,39,0.24096385542168675,TRUE,936,4993,0.18746244742639695,1.285398002265472,0.053501407995289796
Alternative,Rural,2021-22,2021-22,Other,Female,86,2734,50,0.03145574250182882,TRUE,413,6419,0.064340239912759,0.48889687922333946,-0.03288449741093018
Alternative,Rural,2021-22,2021-22,Other,Homeless,30,191,32,0.15706806282722513,TRUE,413,6419,0.064340239912759,2.4412104002129733,0.09272782291446613
Alternative,Rural,2021-22,2021-22,Other,Male,301,3507,53,0.08582834331337326,TRUE,413,6419,0.064340239912759,1.3339761155654792,0.02148810340061426
Alternative,Rural,2021-22,2021-22,Other,Non-Binary Gender (Beginning 2019–20),0,0,11,NA,FALSE,413,6419,0.064340239912759,NA,NA
Alternative,Rural,2021-22,2021-22,Other,Not Reported,0,12,53,0,TRUE,413,6419,0.064340239912759,0,-0.064340239912759
Alternative,Rural,2021-22,2021-22,Other,Socioeconomically Disadvantaged,352,5042,53,0.06981356604522015,TRUE,413,6419,0.064340239912759,1.085068475651981,0.005473326132461154
Alternative,Rural,2021-22,2021-22,Sex,Female,25,315,25,0.07936507936507936,TRUE,413,6419,0.064340239912759,1.2335216572504706,0.01502483945232036
Alternative,Rural,2021-22,2021-22,Sex,Male,2,11,7,0.18181818181818182,TRUE,413,6419,0.064340239912759,2.825885978428351,0.11747794190542282
Alternative,Rural,2021-22,2021-22,Socioeconomic,Socioeconomically Disadvantaged,105,841,52,0.1248513674197384,TRUE,413,6419,0.064340239912759,1.9404865071847475,0.0605111275069794
Alternative,Rural,2021-22,2021-22,Special Education,Special Education,74,910,44,0.08131868131868132,TRUE,413,6419,0.064340239912759,1.2638852672750978,0.01697844140592232
Alternative,Rural,2022-23,2022-23,Other,Female,147,2404,53,0.061148086522462564,TRUE,597,5642,0.10581354129741226,0.5778852665992191,-0.044665454774949695
Alternative,Rural,2022-23,2022-23,Other,Homeless,61,179,39,0.3407821229050279,TRUE,597,5642,0.10581354129741226,3.2205908499667797,0.23496858160761563
Alternative,Rural,2022-23,2022-23,Other,Male,425,3065,55,0.13866231647634583,TRUE,597,5642,0.10581354129741226,1.310440183516823,0.03284877517893357
Alternative,Rural,2022-23,2022-23,Other,Non-Binary Gender (Beginning 2019–20),0,0,18,NA,FALSE,597,5642,0.10581354129741226,NA,NA
Alternative,Rural,2022-23,2022-23,Other,Not Reported,0,0,55,NA,FALSE,597,5642,0.10581354129741226,NA,NA
Alternative,Rural,2022-23,2022-23,Other,Socioeconomically Disadvantaged,547,4532,55,0.12069726390114739,TRUE,597,5642,0.10581354129741226,1.1406599044058185,0.014883722603735133
Alternative,Rural,2022-23,2022-23,Sex,Female,44,296,31,0.14864864864864866,TRUE,597,5642,0.10581354129741226,1.4048168771786864,0.0428351073512364
Alternative,Rural,2022-23,2022-23,Sex,Male,0,0,11,NA,FALSE,597,5642,0.10581354129741226,NA,NA
Alternative,Rural,2022-23,2022-23,Socioeconomic,Socioeconomically Disadvantaged,130,723,52,0.1798063623789765,TRUE,597,5642,0.10581354129741226,1.6992755385966254,0.07399282108156423
Alternative,Rural,2022-23,2022-23,Special Education,Special Education,132,836,41,0.15789473684210525,TRUE,597,5642,0.10581354129741226,1.4921978312615711,0.052081195544692996
Alternative,Rural,2023-24,2023-24,Other,Female,99,2153,53,0.04598235020901068,TRUE,438,5282,0.08292313517606967,0.5545177484109461,-0.036940784967058986
Alternative,Rural,2023-24,2023-24,Other,Homeless,11,153,41,0.0718954248366013,TRUE,438,5282,0.08292313517606967,0.867012862983854,-0.011027710339468366
Alternative,Rural,2023-24,2023-24,Other,Male,324,2895,57,0.11191709844559586,TRUE,438,5282,0.08292313517606967,1.3496486620767976,0.02899396326952619
Alternative,Rural,2023-24,2023-24,Other,Non-Binary Gender (Beginning 2019–20),0,0,13,NA,FALSE,438,5282,0.08292313517606967,NA,NA
Alternative,Rural,2023-24,2023-24,Other,Not Reported,0,24,57,0,TRUE,438,5282,0.08292313517606967,0,-0.08292313517606967
Alternative,Rural,2023-24,2023-24,Other,Socioeconomically Disadvantaged,400,4310,57,0.09280742459396751,TRUE,438,5282,0.08292313517606967,1.1191982116560193,0.009884289417897846
